Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
259,  -0.114, -0.595,  0.904, 48.770, 50.840, 22.850,  4.270,  1.280,  0.000, 31.890, 37.600, 96.940, 247, 470
260,  -0.045, -0.584,  0.842, 104.610, 54.110, 17.380,  4.520,  0.490,  0.180, 31.830, 37.570, 96.940, 249, 387
261,  -0.027, -0.569,  0.719, 157.300, 54.970, 12.960,  4.700,  0.610,  0.180, 31.890, 37.570, 96.940, 247, 266
262,  -0.078, -0.450,  0.837, 186.510, 55.400,  9.480,  4.390,  1.220, -0.120, 31.870, 37.580, 96.940, 247, 201
263,  -0.142, -0.642,  0.890, 183.000, 57.320,  8.970,  4.460,  0.550,  0.060, 31.850, 37.560, 96.940, 248, 321
264,  -0.044, -0.629,  0.786, 144.780, 61.510,  4.590,  4.520,  1.160, -0.060, 31.890, 37.570, 96.920, 247, 363
265,  -0.010, -0.456,  0.813, 105.070, 64.830,  4.700,  4.150,  1.340, -0.120, 31.900, 37.610, 96.880, 246, 288
266,  -0.129, -0.560,  0.826, 76.890, 61.360,  8.240,  4.390,  0.670,  0.000, 31.870, 37.570, 96.860, 252, 434
267,  -0.092, -0.610,  0.877, 25.610, 57.210, 14.170,  4.700,  1.100, -0.060, 31.900, 37.620, 96.860, 248, 367
268,   0.010, -0.563,  0.808, -35.470, 55.430, 19.850,  4.390,  1.400, -0.180, 31.850, 37.610, 96.860, 250, 280
269,  -0.075, -0.480,  0.765, -76.170, 54.930, 22.280,  4.700,  0.730,  0.060, 31.850, 37.580, 96.830, 249, 273
270,  -0.109, -0.601,  0.855, -83.180, 52.930, 25.590,  4.580,  1.280,  0.000, 31.900, 37.610, 96.880, 248, 307
271,  -0.072, -0.550,  0.865, -51.730, 49.910, 27.930,  4.390,  0.790,  0.060, 31.850, 37.600, 96.900, 249, 349
272,  -0.020, -0.598,  0.739, -7.170, 45.680, 29.350,  4.760,  0.610,  0.240, 31.870, 37.600, 96.930, 248, 231
273,  -0.046, -0.431,  0.823, 18.460, 47.940, 27.090,  4.210,  1.340, -0.240, 31.890, 37.650, 96.940, 246, 309
274,  -0.150, -0.615,  0.882, 61.820, 51.540, 22.500,  4.460,  0.550,  0.120, 31.890, 37.650, 96.940, 247, 418
275,  -0.071, -0.634,  0.823, 148.840, 54.720, 14.510,  4.820,  1.220,  0.000, 31.890, 37.620, 96.940, 248, 330
276,   0.006, -0.498,  0.804, 183.580, 55.520, 11.760,  4.390,  1.220, -0.120, 31.890, 37.700, 96.940, 248, 277
277,  -0.113, -0.541,  0.798, 185.830, 57.290,  8.590,  4.580,  0.490,  0.060, 31.870, 37.590, 96.940, 246, 366
278,  -0.111, -0.615,  0.879, 153.800, 60.680,  6.120,  4.700,  1.160, -0.120, 31.870, 37.650, 96.940, 249, 327
279,  -0.022, -0.557,  0.875, 111.210, 65.230,  5.200,  4.270,  1.340, -0.180, 31.900, 37.590, 96.940, 247, 277
280,  -0.045, -0.518,  0.730, 86.570, 62.620,  5.750,  4.760,  0.610,  0.120, 31.890, 37.640, 96.940, 247, 346
281,  -0.092, -0.535,  0.832, 43.180, 58.500, 11.400,  4.460,  1.340,  0.000, 31.900, 37.630, 96.940, 249, 369
282,  -0.100, -0.586,  0.919, -17.470, 56.180, 15.880,  4.580,  0.610,  0.120, 31.870, 37.550, 96.940, 250, 318
283,  -0.033, -0.609,  0.759, -63.870, 55.350, 21.800,  4.880,  0.670,  0.120, 31.870, 37.560, 96.940, 246, 341
