Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
131,  -0.070, -0.556,  0.828, 51.510, 55.480, 17.940,  4.520,  0.980,  0.060, 32.010, 37.580, 96.940, 247, 9
132,  -0.069, -0.556,  0.826, 52.380, 56.090, 17.310,  4.520,  0.850, -0.120, 32.010, 37.530, 96.940, 246, 40
133,  -0.070, -0.556,  0.828, 52.200, 55.570, 17.740,  4.520,  0.980,  0.060, 32.030, 37.550, 96.940, 246, 33
134,  -0.070, -0.556,  0.827, 51.970, 55.960, 16.910,  4.580,  1.040, -0.060, 32.060, 37.510, 96.930, 245, 34
135,  -0.069, -0.555,  0.827, 52.400, 55.900, 17.110,  4.460,  0.920,  0.060, 32.030, 37.590, 96.940, 250, 71
136,  -0.070, -0.556,  0.827, 52.260, 55.820, 15.610,  4.640,  0.980,  0.000, 32.030, 37.560, 96.940, 246, 38
137,  -0.069, -0.556,  0.828, 52.470, 55.570, 16.090,  4.760,  0.790,  0.060, 32.010, 37.490, 96.940, 247, 42
138,  -0.069, -0.556,  0.827, 51.760, 55.820, 16.520,  4.580,  0.980,  0.060, 32.010, 37.550, 96.940, 247, 22
139,  -0.069, -0.556,  0.827, 52.650, 55.250, 16.040,  4.640,  0.920, -0.120, 32.030, 37.520, 96.940, 248, 53
140,  -0.069, -0.557,  0.827, 51.810, 55.820, 16.590,  4.390,  0.920,  0.060, 32.010, 37.560, 96.940, 248, 84
141,  -0.070, -0.557,  0.828, 51.530, 55.550, 16.490,  4.580,  1.040,  0.060, 32.030, 37.510, 96.940, 248, 68
142,  -0.070, -0.556,  0.828, 52.100, 55.510, 16.200,  4.580,  0.980, -0.060, 32.060, 37.600, 96.940, 248, -1
143,  -0.069, -0.556,  0.827, 52.310, 55.660, 17.200,  4.520,  0.980,  0.060, 32.050, 37.550, 96.890, 249, -1
144,  -0.068, -0.556,  0.828, 52.230, 55.260, 16.040,  4.580,  1.040,  0.060, 32.030, 37.570, 96.820, 247, 36
145,  -0.070, -0.556,  0.828, 52.100, 55.440, 16.710,  4.330,  0.920,  0.120, 32.010, 37.580, 96.870, 245, 138
146,  -0.068, -0.556,  0.826, 52.250, 55.580, 16.580,  4.580,  0.850,  0.120, 32.050, 37.550, 96.860, 247, 82
147,  -0.069, -0.556,  0.827, 53.030, 55.490, 17.180,  4.520,  0.980, -0.060, 32.050, 37.570, 96.880, 249, 61
148,  -0.070, -0.557,  0.828, 52.600, 55.330, 16.280,  4.640,  0.920,  0.000, 32.010, 37.540, 96.880, 247, 51
149,  -0.069, -0.557,  0.828, 52.270, 55.800, 16.430,  4.520,  1.100,  0.000, 32.030, 37.570, 96.860, 248, 27
150,  -0.069, -0.556,  0.828, 52.010, 55.130, 16.550,  4.460,  0.920, -0.060, 31.970, 37.550, 96.930, 247, 30
151,  -0.069, -0.556,  0.827, 52.560, 55.940, 16.890,  4.390,  0.980,  0.000, 32.010, 37.550, 96.930, 249, 43
152,  -0.069, -0.556,  0.827, 52.890, 55.100, 16.830,  4.460,  0.980,  0.000, 32.030, 37.610, 96.940, 244, 50
153,  -0.068, -0.556,  0.828, 52.650, 55.220, 16.780,  4.580,  0.980,  0.000, 32.030, 37.560, 96.940, 246, 57
