Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
635,  -0.107, -0.574,  0.814, -45.810, 51.150, 25.560,  4.760,  1.040,  0.120, 31.850, 37.790, 96.930, 248, 159
636,  -0.083, -0.547,  0.890, -12.320, 47.330, 27.970,  4.270,  1.040, -0.060, 31.830, 37.780, 96.940, 250, 127
637,  -0.036, -0.573,  0.837,  8.110, 46.780, 27.280,  4.210,  1.100,  0.120, 31.850, 37.770, 96.930, 247, 126
638,  -0.058, -0.545,  0.788, 34.440, 49.610, 25.560,  4.760,  0.790,  0.180, 31.810, 37.780, 96.940, 246, 144
639,  -0.096, -0.551,  0.837, 77.690, 52.620, 20.170,  4.880,  0.670,  0.060, 31.890, 37.800, 96.930, 248, 167
640,  -0.067, -0.567,  0.879, 125.480, 54.790, 15.010,  4.150,  1.220, -0.120, 31.850, 37.830, 96.930, 249, 142
641,  -0.041, -0.598,  0.779, 157.790, 55.300, 12.480,  4.640,  0.790,  0.180, 31.810, 37.790, 96.940, 246, 111
642,  -0.080, -0.538,  0.778, 163.440, 57.040, 10.710,  4.640,  0.730, -0.060, 31.810, 37.800, 96.940, 248, 154
643,  -0.079, -0.540,  0.870, 139.450, 60.130,  6.680,  4.390,  1.040,  0.000, 31.810, 37.770, 96.930, 248, 122
644,  -0.075, -0.610,  0.841, 108.290, 63.930,  5.260,  4.520,  0.920,  0.180, 31.890, 37.770, 96.930, 248, 177
645,  -0.059, -0.567,  0.769, 89.260, 62.240,  6.670,  4.940,  0.850,  0.180, 31.870, 37.800, 96.940, 247, 315
646,  -0.075, -0.511,  0.821, 53.960, 58.260, 10.740,  4.390,  0.980,  0.000, 31.850, 37.740, 96.940, 250, 218
647,  -0.108, -0.587,  0.859,  3.930, 55.790, 16.380,  4.330,  0.920, -15.630, 31.810, 37.740, 96.860, 247, 130
648,  -0.074, -0.608,  0.808, -39.720, 54.970, 19.970,  4.940,  0.850,  0.120, 31.800, 37.830, 96.870, 248, 94
649,  -0.050, -0.514,  0.789, -58.840, 53.280, 23.320,  4.580,  0.920,  0.000, 31.830, 37.750, 96.810, 249, 165
650,  -0.093, -0.532,  0.851, -47.000, 50.260, 25.950,  4.270,  1.100, -0.060, 31.830, 37.790, 96.860, 246, 198
651,  -0.107, -0.619,  0.843, -10.800, 46.840, 27.010,  5.000,  0.920,  0.060, 31.850, 37.810, 96.870, 247, 158
652,  -0.045, -0.574,  0.823,  9.850, 46.780, 27.840,  4.640,  0.850,  0.180, 31.870, 37.810, 96.840, 249, 133
653,  -0.040, -0.484,  0.814, 37.730, 50.040, 23.940,  4.330,  0.920, -0.060, 31.850, 37.780, 96.890, 249, 97
