maxAudio_max,acc_max,mag_max,gyro_max,maxAudio_min,acc_min,mag_min,gyro_min,maxAudio_skew,acc_skew,mag_skew,gyro_skew,maxAudio_kurtosis,acc_kurtosis,mag_kurtosis,gyro_kurtosis,maxAudio_sum,acc_sum,mag_sum,gyro_sum,maxAudio_mean,acc_mean,mag_mean,gyro_mean,maxAudio_std,acc_std,mag_std,gyro_std,maxAudio_var,acc_var,mag_var,gyro_var,class
6.30000e+01,9.99810e-01,7.82421e+01,4.80258e+00,6.00000e+00,9.98426e-01,7.75072e+01,4.38266e+00,-4.99672e-01,7.06770e-01,-2.25533e-01,-2.26327e-01,-1.45404e+00,1.49253e-01,-1.27000e+00,6.13309e-01,3.73000e+02,8.99186e+00,7.01182e+02,4.13994e+01,4.14444e+01,9.99096e-01,7.79092e+01,4.59994e+00,2.16628e+01,4.50617e-04,2.70937e-01,1.20710e-01,4.69278e+02,2.03056e-07,7.34067e-02,1.45709e-02,0.00000e+00
4.90000e+01,1.00008e+00,7.83296e+01,4.78957e+00,-1.00000e+00,9.98426e-01,7.74526e+01,4.36963e+00,-1.05461e+00,3.28059e-01,9.46756e-01,-7.84964e-01,1.80234e+00,-7.55171e-01,1.10932e-01,-4.77929e-01,2.95000e+02,8.99324e+00,7.00459e+02,4.16021e+01,3.27778e+01,9.99249e-01,7.78288e+01,4.62246e+00,1.58806e+01,5.36532e-04,2.89825e-01,1.48645e-01,2.52194e+02,2.87866e-07,8.39988e-02,2.20952e-02,0.00000e+00
5.00000e+01,1.00119e+00,7.86779e+01,4.75512e+00,4.00000e+00,9.98426e-01,7.77245e+01,4.47153e+00,-3.86065e-01,-9.40040e-02,1.01666e-01,-6.78732e-01,-1.07840e+00,-6.97608e-01,-3.62700e-01,-5.17944e-01,2.80000e+02,8.99810e+00,7.03644e+02,4.18288e+01,3.11111e+01,9.99789e-01,7.81827e+01,4.64764e+00,1.59409e+01,8.80489e-04,2.95056e-01,9.67357e-02,2.54111e+02,7.75260e-07,8.70579e-02,9.35780e-03,0.00000e+00
5.50000e+01,1.00057e+00,7.82191e+01,4.61307e+00,-1.00000e+00,9.98912e-01,7.75322e+01,4.32297e+00,-1.74508e-01,6.87341e-02,-6.83046e-01,-1.13093e-01,-1.16148e+00,-1.01027e+00,-5.94065e-01,-1.63147e+00,2.31000e+02,8.99670e+00,7.01526e+02,4.01853e+01,2.56667e+01,9.99634e-01,7.79473e+01,4.46503e+00,1.96023e+01,5.96335e-04,2.37840e-01,1.05089e-01,3.84250e+02,3.55615e-07,5.65680e-02,1.10438e-02,0.00000e+00
8.20000e+01,9.99810e-01,7.85087e+01,4.73033e+00,1.00000e+00,9.98912e-01,7.71266e+01,4.51191e+00,6.35239e-01,-5.39968e-01,6.47795e-02,-3.52361e-01,-1.17449e+00,-1.78388e+00,1.52461e-01,-3.98439e-01,3.17000e+02,8.99506e+00,7.00357e+02,4.16889e+01,3.52222e+01,9.99451e-01,7.78174e+01,4.63210e+00,3.10152e+01,3.88666e-04,4.12557e-01,7.03444e-02,9.61944e+02,1.51062e-07,1.70204e-01,4.94834e-03,0.00000e+00
1.09000e+02,1.00119e+00,7.79324e+01,4.85403e+00,-1.00000e+00,9.98982e-01,7.75132e+01,4.42706e+00,1.24045e+00,9.37034e-01,-2.45996e-01,4.98859e-01,9.71342e-01,2.22745e+00,-1.28549e+00,1.79251e-02,3.25000e+02,8.99940e+00,6.99544e+02,4.14923e+01,3.61111e+01,9.99933e-01,7.77271e+01,4.61025e+00,3.53322e+01,6.07440e-04,1.49221e-01,1.31079e-01,1.24836e+03,3.68983e-07,2.22670e-02,1.71818e-02,0.00000e+00
5.30000e+01,9.99740e-01,7.85625e+01,4.83567e+00,-1.00000e+00,9.98085e-01,7.75512e+01,4.42706e+00,2.49913e-01,-1.05113e+00,5.85133e-01,-8.02059e-01,-1.94822e+00,1.41156e+00,-1.62060e-01,3.06660e-01,2.27000e+02,8.99263e+00,7.02187e+02,4.21119e+01,2.52222e+01,9.99182e-01,7.80208e+01,4.67910e+00,2.10581e+01,5.23278e-04,3.26020e-01,1.33172e-01,4.43444e+02,2.73820e-07,1.06289e-01,1.77346e-02,0.00000e+00
1.02000e+02,1.00112e+00,7.81432e+01,4.75550e+00,5.00000e+00,9.98016e-01,7.75937e+01,4.36840e+00,7.18848e-01,4.88872e-01,7.85720e-01,-4.09050e-01,-1.33963e+00,-8.39229e-01,-3.37928e-01,-1.90385e+00,4.02000e+02,8.99596e+00,7.00332e+02,4.13857e+01,4.46667e+01,9.99551e-01,7.78146e+01,4.59841e+00,3.73898e+01,1.07506e-03,1.95229e-01,1.51150e-01,1.39800e+03,1.15575e-06,3.81144e-02,2.28462e-02,0.00000e+00
1.06000e+02,9.99740e-01,7.79841e+01,4.81705e+00,1.00000e+00,9.98016e-01,7.74258e+01,4.36840e+00,-7.02305e-01,1.28983e+00,-4.38993e-01,1.06702e+00,-1.55678e-01,8.61197e-01,-1.17564e+00,1.72262e+00,5.27000e+02,8.98656e+00,6.99796e+02,4.08092e+01,5.85556e+01,9.98506e-01,7.77551e+01,4.53435e+00,3.40482e+01,5.97896e-04,1.96516e-01,1.33542e-01,1.15928e+03,3.57480e-07,3.86184e-02,1.78334e-02,0.00000e+00
7.30000e+01,1.00030e+00,7.82103e+01,4.73033e+00,1.20000e+01,9.98356e-01,7.71569e+01,4.39646e+00,8.13519e-01,3.33067e-01,-7.43616e-01,-1.17517e+00,-5.20550e-01,-1.11537e+00,1.10633e+00,1.37989e+00,3.34000e+02,8.99402e+00,6.99889e+02,4.14489e+01,3.71111e+01,9.99335e-01,7.77655e+01,4.60543e+00,2.18543e+01,6.80896e-04,3.06610e-01,1.01335e-01,4.77611e+02,4.63619e-07,9.40095e-02,1.02687e-02,0.00000e+00
